C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,Label,gbdt_leaf_0,gbdt_leaf_1,gbdt_leaf_2,gbdt_leaf_3,gbdt_leaf_4,gbdt_leaf_5,gbdt_leaf_6,gbdt_leaf_7,gbdt_leaf_8,gbdt_leaf_9
75ac2fe6,1cfdf714,713fbe7c,aa65a61e,25c83c98,3bf701e7,7195046d,0b153874,a73ee510,9e5006cd,4d8549da,a48afad2,51b97b8f,b28479f6,d345b1a0,3fa658c5,3486227d,e88ffc9d,c393dc22,b1252a9d,57c90cd9,-1,bcdee96c,4d19a3eb,cb079c2d,456c12a0,0.020833333333333332,0.0002542588354945334,0.00023646252069047056,0.0,0.00022458274889284644,0.0004311273981461522,0.10488245931283906,0.03467153284671533,0.009045760908123448,0.4,0.21052631578947367,0.020202020202020204,0.0,1,2,2,7,3,2,2,2,2,22,15
05db9164,6c9c9cf3,2730ec9c,5400db8b,25c83c98,7e0ccccf,8a6600b0,813607cc,a73ee510,e4b08fda,4ab39743,be45b877,ab8a1a53,07d13a8f,06969a20,9bc7fff5,07c540c4,92555263,-1,-1,242bb710,-1,3a171ecb,72c78f11,-1,-1,0.05208333333333333,0.0003813882532418001,0.00023646252069047056,0.03409090909090909,2.7580337583332016e-05,0.0006466910972192282,0.0030138637733574444,0.005474452554744526,0.000532103582830791,0.4,0.05263157894736842,0.0,0.0038910505836575876,1,14,1,8,28,15,10,35,1,12,18
05db9164,207b2d81,19d853db,cc4ecbc8,4cf72387,7e0ccccf,b5043bcd,0b153874,a73ee510,3013a9ec,371dae82,378b4833,18fc2b1e,cfef1c29,dad721df,1f2e9dec,07c540c4,25c88e42,21ddcdc9,b1252a9d,a0136dd2,-1,32c7478e,8fc66e78,001f3601,f37f3967,0.010416666666666666,0.10272056953979149,0.0,0.0,0.001726726135127894,0.03082560896744988,0.0018083182640144665,0.0018248175182481751,0.009045760908123448,0.2,0.05263157894736842,0.0,0.0,1,17,18,13,42,22,5,30,31,35,41
05db9164,09e68b86,983fc1f4,49045e9d,25c83c98,7e0ccccf,50b436c9,0b153874,a73ee510,0a3a2cb6,a0a5e9d7,fbe49065,ee79db7b,07d13a8f,36721ddc,fc60350c,e5ba7672,5aed7436,21ddcdc9,b1252a9d,c3abeb21,-1,423fab69,1793a828,e8b83407,5cef228f,0.03125,0.0001271294177472667,0.0050839441948451174,0.17045454545454544,0.00029845865313391434,0.008406984263849967,0.01567209162145871,0.07116788321167883,0.016140475345867326,0.4,0.10526315789473684,0.0,0.05058365758754864,0,4,22,18,8,19,15,11,24,32,35
05db9164,2a69d406,76c78125,13508380,25c83c98,7e0ccccf,0433a7db,0fb392dd,a73ee510,3b08e48b,418037d7,cbb5e0eb,b0bfed6d,07d13a8f,3b2d8705,74d50e5e,e5ba7672,642f2610,1d1eb838,b1252a9d,1640d50b,ad3062eb,423fab69,45ab94c8,2bf691b1,c84c4aec,0.010416666666666666,0.007500635647088735,0.00035469378103570584,0.022727272727272728,0.002848654867535578,0.0006466910972192282,0.0216998191681736,0.0036496350364963502,0.024476764810216385,0.2,0.4736842105263157,0.0,0.0025940337224383916,1,2,2,9,28,2,3,4,4,11,15
5a9ed9b0,421b43cd,c9c2ec4d,29998ed1,25c83c98,fe6b92e5,7076d935,0b153874,a73ee510,d9dcf453,ceb943bc,6aaba33c,6726c9f7,b28479f6,e1ac77f7,b041b04a,e5ba7672,2804effd,-1,-1,723b4dfd,-1,32c7478e,b34f3128,-1,-1,0.010416666666666666,0.008771929824561403,0.0004729250413809411,0.1477272727272727,0.0014489527351814785,0.011424876050873032,0.009041591320072331,0.012773722627737226,0.012947853848882583,0.2,0.05263157894736842,0.010101010101010102,0.016861219195849545,0,23,15,21,12,28,30,20,16,31,42
5a9ed9b0,b0d4a6f6,73006735,97ceb02f,25c83c98,fbad5c96,407438c8,0b153874,a73ee510,b320e88d,755e4a50,c883f656,5978055e,32813e21,19f03519,636ac9fa,8efede7f,1e3d9f94,-1,-1,a5f11cda,-1,3a171ecb,732eaaee,-1,-1,0.020833333333333332,0.0017798118484617339,0.001300543863797588,0.06818181818181819,2.5610313470236873e-05,0.0012933821944384565,0.027727546714888487,0.014598540145985401,0.27562965590634975,0.4,0.4736842105263157,0.020202020202020204,0.007782101167315174,1,2,2,3,21,2,2,2,2,4,5
68fd1e64,b46aceb6,7fc6b941,8a8d0597,43b19349,fe6b92e5,4d90c4ed,6c41e35e,a73ee510,9fdec37f,d6194705,48152697,654099a3,07d13a8f,6afa614f,b9660ab7,3486227d,a4667218,-1,-1,77e124f1,c9d4222a,55dd3565,38be899f,-1,-1,0.010416666666666666,0.0002542588354945334,0.0004729250413809411,0.05681818181818182,0.004453239507651574,0.0342746281526191,0.017480409885473176,0.0437956204379562,0.11351543100390209,0.2,0.15789473684210525,0.010101010101010102,0.009079118028534372,0,5,45,22,16,42,29,39,20,9,16
05db9164,00ac063c,f483d069,a089e42f,25c83c98,-1,d4ab9344,5b392875,a73ee510,474773a7,2bcfb78f,8287dc29,e6fc496d,1adce6ef,c06bba41,ddfabc04,3486227d,15a4e6dd,21ddcdc9,5840adea,87e212d4,-1,32c7478e,c2fe6ca4,001f3601,602f0609,0.03125,0.0006356470887363335,0.0015370063844880586,0.38636363636363635,1.4775180848213581e-05,0.0034490191851692174,0.0018083182640144665,0.05474452554744525,0.006207875133025896,0.4,0.05263157894736842,0.020202020202020204,0.014267185473411154,1,6,9,13,25,6,24,34,7,6,30
439a44a4,38a947a1,bc2aea05,ac975db6,25c83c98,7e0ccccf,7079e499,0b153874,a73ee510,3b08e48b,6fc6ad29,b67ac327,b0c30eeb,07d13a8f,22223d6c,d388d33c,d4bb7bd8,97b81540,-1,-1,0ac4575d,-1,be7c41b4,d28d80ac,-1,-1,0.0,0.006737859140605135,0.00023646252069047056,0.022727272727272728,0.0022448424768719165,0.0,0.0006027727546714888,0.03102189781021898,0.007449450159631075,0.0,0.02631578947368421,0.0,0.010376134889753566,0,16,17,42,46,21,36,36,33,48,43
